iter	Logloss
0	0.6699026703
1	0.6487371816
2	0.6319563636
3	0.6141456398
4	0.5978589867
5	0.5847346167
6	0.5727308756
7	0.561722137
8	0.5497152521
9	0.5386426737
10	0.5284693702
11	0.5205317104
12	0.5129285839
13	0.5047068852
14	0.4983462607
15	0.492479737
16	0.4858133552
17	0.4796264776
18	0.4738941778
19	0.4685931334
20	0.4645878763
21	0.4599568289
22	0.4556566577
23	0.4516497966
24	0.4479730739
25	0.4445497213
26	0.4413603945
27	0.4383895024
28	0.4361422777
29	0.4335304924
30	0.431582256
31	0.4292880657
32	0.4275018348
33	0.4259102351
34	0.4240197753
35	0.4222644057
36	0.4209299295
37	0.4197239029
38	0.4182825672
39	0.417251314
40	0.4162774846
41	0.4152902134
